cytoband	9p12	2q37.1	15q13.3	8p11.21	11p15.5	8q24.3	
	FAM75A1	DNER	GJD2		SNORA54	HPYR1	
	FAM74A2	B3GNT7	STARD9		INS-IGF2	MFSD3	
	LOC653501	SP140L	VPS18		MUC5B	RHPN1	
	KGFLP2	AGAP1	ZFP106		MIR675	TOP1MT	
	MSMP	TWIST2	CHAC1		FAM99B	LYPD2	
	FAM75A3	DIS3L2	C15orf29		LOC100133161	TMEM71	
	FAM75A5	SPATA3	TMEM62		MRPL23-AS1	COL22A1	
	FAM74A3	FBXO36	NIPA2		MIR4298	ADCK5	
	CNTNAP3B	UBE2F	C15orf41		MIR210HG	TSNARE1	
	FAM166B	OTOS	ZFYVE19		MIR4686	MAPK15	
	FOXD4L2	MYEOV2	DISP2			ZNF707	
	FAM27C	OR6B3	CHRFAM7A			BREA2	
	FAM95B1	LOC150935	ULK4P3			FAM83H	
	LOC100506710	LOC151171	ULK4P1			LOC286094	
	MIR4667	LOC151174	ARHGAP11B			ZNF252	
	MIR4540	SLC16A14	ATPBD4			TMED10P1	
	MIR4475	LOC151475	C15orf57			C8orf77	
	MIR4476	LINC00471	C15orf23			C8orf31	
		LOC151484	BMF			ZFP41	
		MSL3P1	SNORD107			GPIHBP1	
		WDR69	CHST14			NRBP2	
		C2orf57	TUBGCP5			ZNF517	
		TIGD1	TGM7			KIAA1875	
		C2orf72	NIPA1			C8ORFK29	
		DUSP28	PLA2G4E			SPATC1	
		ESPNL	PAR1			FLJ43860	
		ECEL1P2	LOC145845			MAFA	
		LOC348761	TMCO5A			MIR30B	
		RBM44	ZSCAN29			MIR30D	
		AQP12A	TTBK2			C8orf82	
		KLHL30	CDAN1			LRRC24	
		C2orf82	CSNK1A1P1			ZFAT-AS1	
		OR6B2	OTUD7A			LINC00051	
		ASB18	SPRED1			C8orf73	
		FLJ43879	PGBD4			SCXB	
		MIR149	ADAL			MIR661	
		DNAJB3	EXD1			HEATR7A	
		LOC643387	FSIP1			OC90	
		PRR21	RHOV			LOC731779	
		LOC646736	UBR1			MIR937	
		PRSS56	LPCAT4			MIR939	
		AQP12B	PLA2G4F			LOC100128338	
		SNORA75	LRRC57			SCXA	
		SCARNA6	C15orf55			CCDC166	
		SCARNA5	LOC283683			LOC100133669	
		PP14571	OR4N4			LOC100288181	
		LOC100286922	LOC283710			MIR1234	
		MIR1471	FAM98B			LOC100507117	
		MIR1244-1	PLA2G4D			MIR4472-1	
		MIR1244-3	HERC2P3			MIR4664	
		MIR1244-2	GOLGA6L1				
		MIR4269	GOLGA8G				
		UBE2F-SCLY	GOLGA8IP				
		MIR4439	SNORD108				
		MIR4777	SNORD109A				
		MIR2467	SNORD109B				
		MIR4440	SNORD115-1				
		MIR4786	WHAMMP3				
		MIR4441	POTEB				
			FMN1				
			SNORD64				
			PAR4				
			PAR-SN				
			LOC348120				
			MRPL42P5				
			C15orf52				
			GOLGA8E				
			OR4M2				
			OR4N3P				
			HERC2P2				
			C15orf53				
			C15orf54				
			MIR211				
			NF1P2				
			HERC2P9				
			WHAMMP2				
			GOLGA8B				
			EIF2AK4				
			LOC503519				
			C15orf62				
			C15orf56				
			PHGR1				
			CHEK2P2				
			LOC646214				
			CXADRP2				
			LOC646278				
			REREP3				
			LOC653061				
			LOC653075				
			MIR626				
			MIR627				
			ANP32AP1				
			SNORD116-19				
			GOLGA6L6				
			LOC727924				
			OIP5-AS1				
			GOLGA8C				
			PWRN1				
			PWRN2				
			SNORD116-1				
			SNORD116-2				
			SNORD116-3				
			SNORD116-4				
			SNORD116-5				
			SNORD116-6				
			SNORD116-7				
			SNORD116-8				
			SNORD116-9				
			SNORD116-10				
			SNORD116-11				
			SNORD116-12				
			SNORD116-13				
			SNORD116-14				
			SNORD116-15				
			SNORD116-16				
			SNORD116-17				
			SNORD116-18				
			SNORD116-20				
			SNORD116-21				
			SNORD116-22				
			SNORD116-23				
			SNORD116-24				
			SNORD116-25				
			SNORD115-2				
			SNORD116-26				
			SNORD116-27				
			SNORD115-3				
			SNORD115-4				
			SNORD115-5				
			SNORD115-6				
			SNORD115-7				
			SNORD115-8				
			SNORD115-9				
			SNORD115-10				
			SNORD115-11				
			SNORD115-12				
			SNORD115-13				
			SNORD115-14				
			SNORD115-15				
			SNORD115-16				
			SNORD115-17				
			SNORD115-18				
			SNORD115-19				
			SNORD115-20				
			SNORD115-21				
			SNORD115-22				
			SNORD115-23				
			SNORD115-25				
			SNORD115-26				
			SNORD115-29				
			SNORD115-30				
			SNORD115-31				
			SNORD115-32				
			SNORD115-33				
			SNORD115-34				
			SNORD115-35				
			SNORD115-36				
			SNORD115-37				
			SNORD115-38				
			SNORD115-39				
			SNORD115-40				
			SNORD115-41				
			SNORD115-42				
			SNORD115-43				
			SNORD115-44				
			SNORD116-28				
			SNORD116-29				
			SNORD115-48				
			SNORD115-24				
			SNORD115-27				
			SNORD115-28				
			SNORD115-45				
			SNORD115-47				
			LOC100128714				
			LOC100131089				
			ANKRD63				
			HERC2P7				
			GOLGA8F				
			GOLGA8DP				
			JMJD7				
			PLA2G4B				
			ULK4P2				
			LOC100288615				
			LOC100288637				
			LOC100289656				
			MIR1233-1				
			MIR1233-2				
			MIR4310				
			MIR3942				
			LOC100505648				
			LOC100507466				
			MIR4509-1				
			MIR4509-2				
			MIR4508				
			MIR4510				
			MIR4509-3				
			MIR4715				
			TMCO5B				
