Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	sarc-sg037-01-000-000	sarc-sg050-01-000-000	sarc-sg061-01-000-000	sarc-sg079-01-000-000	sgit-st009-01-000-000	sgit-st021-01-000-000	sgit-st027-01-000-000	sgit-st033-01-000-000	sgit-st035-01-000-000	sgit-st052-01-000-000	sgit-st079-01-000-000	sgit-st080-01-000-000	sgit-st083-01-000-000	sgit-st091-01-000-000	sgit-st099-01-000-000	sgit-st110-01-000-000	sgit-st116-01-000-000	
Deletion Peak  1	1p36.33 	chr1:1-48663059(probes 1:4616)                       	chr1:1-3787555(probes 1:366)                          	chr1:1-6735671(probes 1:661)                          	0.011487	   0.011487		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	
Deletion Peak  2	1p31.3  	chr1:1-249250621(probes 1:21733)                    	chr1:62690085-66115384(probes 5758:6079)          	chr1:62720074-62920850(probes 5761:5762)          	0.23801	    0.23801		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	
Deletion Peak  3	1q21.1  	chr1:120928085-149906412(probes 11425:12092)    	chr1:144596597-145056423(probes 11644:11678)    	chr1:144655858-144685486(probes 11650:11651)    	0.17281	    0.17251		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
Deletion Peak  4	2q32.1  	chr2:184018491-189161355(probes 39214:39514)    	chr2:184398150-187565025(probes 39252:39354)    	chr2:184408141-189906193(probes 39253:39587)    	0.061545	   0.061545		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	
Deletion Peak  5	2q35    	chr2:204393015-218902963(probes 40950:42365)    	chr2:215701854-216890448(probes 42062:42170)    	chr2:215711849-216840460(probes 42063:42165)    	0.17251	    0.17251		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
Deletion Peak  6	4p16.3  	chr4:1-78755135(probes 63180:70426)                  	chr4:1-8857775(probes 63180:64012)                    	chr4:1-8877708(probes 63180:64014)                    	0.17251	    0.17251		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
Deletion Peak  7	4q13.2  	chr4:68680946-71555955(probes 69426:69707)        	chr4:68690940-71488284(probes 69427:69701)        	chr4:68806204-68827556(probes 69432:69433)        	0.19345	    0.19345		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	
Deletion Peak  8	6p12.1  	chr6:45511844-63990830(probes 102414:103629)      	chr6:54153281-63740890(probes 103228:103604)      	chr6:54002232-63760885(probes 103213:103606)      	0.19345	    0.19345		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	
Deletion Peak  9	7p22.2  	chr7:1-99945880(probes 113968:123070)               	chr7:1-6967522(probes 113968:114618)                 	chr7:1-6986362(probes 113968:114620)                 	0.00066626	 0.00066626		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	
Deletion Peak 10	7q11.21 	chr7:55270482-77648183(probes 119355:121000)      	chr7:57259091-63822773(probes 119561:119678)      	chr7:57268910-62567376(probes 119562:119563)      	0.17251	    0.17251		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	
Deletion Peak 11	8q22.1  	chr8:89332082-105352688(probes 136921:138289)    	chr8:89901715-104472768(probes 136978:138222)    	chr8:89911709-91013230(probes 136979:136980)      	0.1632	     0.1632		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Deletion Peak 12	8q24.3  	chr8:142009195-146364022(probes 141887:142279)  	chr8:142108817-145856323(probes 141897:142256)  	chr8:142139029-145787485(probes 141899:142249)  	0.19345	    0.19511		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	
Deletion Peak 13	9q34.13 	chr9:1-141213431(probes 142280:153934)              	chr9:130012586-141213431(probes 152877:153934)  	chr9:130062353-130092211(probes 152882:152883)  	0.064013	          1		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	
Deletion Peak 14	9q34.13 	chr9:15539487-141213431(probes 143833:153934)    	chr9:130012586-141213431(probes 152877:153934)  	chr9:130062353-130092211(probes 152882:152883)  	0.064013	   0.064013		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	
Deletion Peak 15	10q11.21	chr10:38736349-42830721(probes 157717:157751)    	chr10:38924345-42690838(probes 157736:157737)    	chr10:38934240-42700829(probes 157737:157738)    	0.077009	   0.077009		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	
Deletion Peak 16	10q26.3 	chr10:133792082-135534747(probes 166534:166673)	chr10:133850029-135534747(probes 166540:166673)	chr10:133859687-135534747(probes 166541:166673)	0.064013	   0.064013		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	
Deletion Peak 17	11p15.5 	chr11:1-134138863(probes 166674:178914)           	chr11:1-3199026(probes 166674:166978)               	chr11:1-3160117(probes 166674:166974)               	0.064013	   0.064013		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	
Deletion Peak 18	11q11   	chr11:49998330-57097437(probes 171513:171667)    	chr11:50047934-55080159(probes 171518:171519)    	chr11:50057855-55089878(probes 171519:171520)    	0.011487	   0.011487		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	
Deletion Peak 19	12q12   	chr12:39295232-41982043(probes 182383:182579)    	chr12:39675105-41982043(probes 182421:182579)    	chr12:33607834-44171289(probes 182312:182783)    	0.0098415	  0.0098415		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	
Deletion Peak 20	12q21.32	chr12:87227837-89815448(probes 186550:186768)    	chr12:88157793-89765468(probes 186643:186763)    	chr12:88177792-88440133(probes 186645:186646)    	0.19345	    0.19345		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Deletion Peak 21	12q24.33	chr12:133277287-133851895(probes 190960:190987)	chr12:133287160-133851895(probes 190961:190987)	chr12:132323295-133851895(probes 190868:190987)	0.06184	   0.061545		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	
Deletion Peak 22	16p13.3 	chr16:1-90354753(probes 216528:224001)              	chr16:1-2841291(probes 216528:216799)                	chr16:1-2851150(probes 216528:216800)                	0.064013	          1		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	
Deletion Peak 23	16p13.3 	chr16:1-81267717(probes 216528:223101)              	chr16:1-2841291(probes 216528:216799)                	chr16:1-2851150(probes 216528:216800)                	0.064013	   0.064013		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	
Deletion Peak 24	16q24.3 	chr16:1-90354753(probes 216528:224001)              	chr16:88460973-90154359(probes 223825:223992)    	chr16:88470953-90354753(probes 223826:224001)    	0.064013	          1		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	1	0	
Deletion Peak 25	17q25.3 	chr17:79907031-81195210(probes 231440:231553)    	chr17:79917016-81195210(probes 231441:231553)    	chr17:79936987-81195210(probes 231443:231553)    	0.077033	   0.077009		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	
Deletion Peak 26	19p13.2 	chr19:8912396-17831852(probes 239602:240484)      	chr19:8912396-17812017(probes 239602:240482)      	chr19:9002441-20005986(probes 239607:240695)      	0.011856	   0.011822		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	0	0	1	0	1	0	1	1	1	1	0	1	0	0	
Deletion Peak 27	20q13.33	chr20:1169507-63025520(probes 244081:249754)      	chr20:60746590-63025520(probes 249535:249754)    	chr20:60574217-63025520(probes 249517:249754)    	0.011487	   0.011487		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	
Amplification Peak  1 - CN values	1p36.33 	chr1:1-678739(probes 1:61)                             	chr1:1-668809(probes 1:60)                             	chr1:1-698598(probes 1:63)                             	0.020539	   0.020539		Actual Copy Change Given	0	0	0	0	0	3.6569	0	0	0	2	-1	-1.2929	-1.2929	0	0	0	3.6569	
Amplification Peak  2 - CN values	1q21.1  	chr1:121106805-144832743(probes 11443:11653)    	chr1:121116734-142827043(probes 11444:11463)    	chr1:121116734-145341916(probes 11444:11709)    	1.1059e-05	 1.1059e-05		Actual Copy Change Given	0	1	0	0	1	1	1.5	2	3.6569	1	1	1.3333	1	3.6569	-1	1.1429	0	
Amplification Peak  3 - CN values	3q12.3  	chr3:100086435-108577913(probes 53682:54343)    	chr3:101230935-102933084(probes 53798:53886)    	chr3:101230935-102963057(probes 53798:53889)    	0.19541	    0.19541		Actual Copy Change Given	0	0	1	0	0	0	0	0	0	0	1	0	3.6569	0	0	-0.28571	3	
Amplification Peak  4 - CN values	4p11    	chr4:49225832-52948179(probes 67922:67956)        	chr4:49235264-52938242(probes 67923:67955)        	chr4:49235264-52968053(probes 67923:67958)        	0.19541	    0.19541		Actual Copy Change Given	0	0	2	0.0003793	3	0	0	2	3.6569	0	1	0	3.6569	0	0	-0.28571	0	
Amplification Peak  5 - CN values	7q11.21 	chr7:66815745-70246408(probes 119948:120282)      	chr7:66825661-67029597(probes 119949:119959)      	chr7:66302896-70266333(probes 119900:120284)      	0.0076276	  0.0076276		Actual Copy Change Given	0	0	-1	0	0.00097481	0	0	1	0	2	3.6569	-0.66667	0	3.6569	0	0.00089233	1	
Amplification Peak  6 - CN values	9q34.13 	chr9:128494036-141213431(probes 152724:153934)  	chr9:135210325-136071515(probes 153392:153462)  	chr9:135210325-136101403(probes 153392:153465)  	0.19541	    0.19541		Actual Copy Change Given	0	1	0	0	0	0	0	0	0	2	-1	-1.2929	0	2	0	0	3.6569	
Amplification Peak  7 - CN values	11p15.4 	chr11:3706245-4181975(probes 167032:167073)        	chr11:3714812-4172885(probes 167033:167072)        	chr11:3714812-4200156(probes 167033:167075)        	0.17309	    0.17309		Actual Copy Change Given	0	0	0	0.00013195	0	0	0	0	0	3.6569	0	0	1	3.6569	0	0	0	
Amplification Peak  8 - CN values	12q13.3 	chr12:57521076-57643421(probes 183887:183899)    	chr12:57530815-57633506(probes 183888:183898)    	chr12:57530815-57663252(probes 183888:183901)    	0.18028	    0.18028		Actual Copy Change Given	0.00028796	0	0	0	0	3.6569	0.5	0	3.6569	3	0	2.6667	0	0	0	0.57143	0	
Amplification Peak  9 - CN values	12q24.31	chr12:110019307-133851895(probes 188715:190987)	chr12:124094888-124319863(probes 190048:190069)	chr12:124094888-124349722(probes 190048:190072)	0.085625	   0.085625		Actual Copy Change Given	0.00028796	0	0	0	0	0	0.5	0	3.6569	1	0	0.66667	-1	2	1	0	3.6569	
Amplification Peak 10 - CN values	14q11.2 	chr14:1-20157273(probes 200404:200508)           	chr14:1-20148051(probes 200404:200507)           	chr14:1-20175717(probes 200404:200510)           	0.010107	   0.010107		Actual Copy Change Given	0	0	3.6569	1	1	3.6569	1	0	3.6569	0	0	-0.66667	0	3.6569	0	0.57143	0	
Deletion Peak  1 - CN values	1p36.33 	chr1:1-48663059(probes 1:4616)                       	chr1:1-3787555(probes 1:366)                          	chr1:1-6735671(probes 1:661)                          	0.011487	   0.011487		Actual Copy Change Given	0	0	0	0	0	0	0	0	0	2	-1	-1.2929	-1.2929	0	0	0	1	
Deletion Peak  2 - CN values	1p31.3  	chr1:1-249250621(probes 1:21733)                    	chr1:62690085-66115384(probes 5758:6079)          	chr1:62720074-62920850(probes 5761:5762)          	0.23801	    0.23801		Actual Copy Change Given	0	0	0	0	0	0	0	0	0	0	1	-0.66667	0	0	0	-0.57143	0	
Deletion Peak  3 - CN values	1q21.1  	chr1:120928085-149906412(probes 11425:12092)    	chr1:144596597-145056423(probes 11644:11678)    	chr1:144655858-144685486(probes 11650:11651)    	0.17281	    0.17251		Actual Copy Change Given	0	1	0	0	0	1	1.5	2	3	1	1	1.3333	1	-1.2929	-1	1.1429	0	
Deletion Peak  4 - CN values	2q32.1  	chr2:184018491-189161355(probes 39214:39514)    	chr2:184398150-187565025(probes 39252:39354)    	chr2:184408141-189906193(probes 39253:39587)    	0.061545	   0.061545		Actual Copy Change Given	0	0	1	0	0	3.6569	0.5	0	0	-1	0	0.66667	0	0	-1.2929	-0.28571	-1	
Deletion Peak  5 - CN values	2q35    	chr2:204393015-218902963(probes 40950:42365)    	chr2:215701854-216890448(probes 42062:42170)    	chr2:215711849-216840460(probes 42063:42165)    	0.17251	    0.17251		Actual Copy Change Given	0	-1.2929	1	0	0	3.6569	0.5	0	0	-1	0	-0.66667	0	0	2	0	0	
Deletion Peak  6 - CN values	4p16.3  	chr4:1-78755135(probes 63180:70426)                  	chr4:1-8857775(probes 63180:64012)                    	chr4:1-8877708(probes 63180:64014)                    	0.17251	    0.17251		Actual Copy Change Given	0	0	0	0.0003793	0	0	0	0	3.6569	0	0	-1.2929	-1	0	0	0	1	
Deletion Peak  7 - CN values	4q13.2  	chr4:68680946-71555955(probes 69426:69707)        	chr4:68690940-71488284(probes 69427:69701)        	chr4:68806204-68827556(probes 69432:69433)        	0.19345	    0.19345		Actual Copy Change Given	0	0	1	0.0003793	0	0	0	1	3	-1.2929	1	0	1	0	-1	-0.85714	0	
Deletion Peak  8 - CN values	6p12.1  	chr6:45511844-63990830(probes 102414:103629)      	chr6:54153281-63740890(probes 103228:103604)      	chr6:54002232-63760885(probes 103213:103606)      	0.19345	    0.19345		Actual Copy Change Given	0	0	2	0	0	3.6569	0	0	0	-1.2929	0	-0.66667	0	3.6569	-1.2929	-0.85714	0	
Deletion Peak  9 - CN values	7p22.2  	chr7:1-99945880(probes 113968:123070)               	chr7:1-6967522(probes 113968:114618)                 	chr7:1-6986362(probes 113968:114620)                 	0.00066626	 0.00066626		Actual Copy Change Given	0	0	-1	0	0	-1	0	0	0	0	-1	-1.2929	-1	3	0	0	0	
Deletion Peak 10 - CN values	7q11.21 	chr7:55270482-77648183(probes 119355:121000)      	chr7:57259091-63822773(probes 119561:119678)      	chr7:57268910-62567376(probes 119562:119563)      	0.17251	    0.17251		Actual Copy Change Given	0	0	-1	0	0.00097481	0	0	1	0	-1.2929	0	-0.66667	0	3.6569	0	0.00089233	0	
Deletion Peak 11 - CN values	8q22.1  	chr8:89332082-105352688(probes 136921:138289)    	chr8:89901715-104472768(probes 136978:138222)    	chr8:89911709-91013230(probes 136979:136980)      	0.1632	     0.1632		Actual Copy Change Given	0	0	1	0	0	0	0.5	1	3.6569	0	1	3.3333	2	0	2	-1.2929	0	
Deletion Peak 12 - CN values	8q24.3  	chr8:142009195-146364022(probes 141887:142279)  	chr8:142108817-145856323(probes 141897:142256)  	chr8:142139029-145787485(probes 141899:142249)  	0.19345	    0.19511		Actual Copy Change Given	0	0	1	0	0	0	0.5	0	3.6569	0	-1	-0.66667	-1	0	2	0	0	
Deletion Peak 13 - CN values	9q34.13 	chr9:1-141213431(probes 142280:153934)              	chr9:130012586-141213431(probes 152877:153934)  	chr9:130062353-130092211(probes 152882:152883)  	0.064013	          1		Actual Copy Change Given	0	1	0	0	0	0	0	0	0	2	-1	-1.2929	0	2	0	0	3.6569	
Deletion Peak 14 - CN values	9q34.13 	chr9:15539487-141213431(probes 143833:153934)    	chr9:130012586-141213431(probes 152877:153934)  	chr9:130062353-130092211(probes 152882:152883)  	0.064013	   0.064013		Actual Copy Change Given	0	1	0	0	0	0	0	0	0	2	-1	-1.2929	0	2	0	0	3.6569	
Deletion Peak 15 - CN values	10q11.21	chr10:38736349-42830721(probes 157717:157751)    	chr10:38924345-42690838(probes 157736:157737)    	chr10:38934240-42700829(probes 157737:157738)    	0.077009	   0.077009		Actual Copy Change Given	0	0	0	0	0	0	-0.5	-1	0	0	0	-0.66667	0	0	0	0	0	
Deletion Peak 16 - CN values	10q26.3 	chr10:133792082-135534747(probes 166534:166673)	chr10:133850029-135534747(probes 166540:166673)	chr10:133859687-135534747(probes 166541:166673)	0.064013	   0.064013		Actual Copy Change Given	0	0	0	0	0	0	-0.5	0	0	1	0	-1.2929	-1	0	0	0	2	
Deletion Peak 17 - CN values	11p15.5 	chr11:1-134138863(probes 166674:178914)           	chr11:1-3199026(probes 166674:166978)               	chr11:1-3160117(probes 166674:166974)               	0.064013	   0.064013		Actual Copy Change Given	0	0	0	0.00013195	0	0	0	0	0	1	-1	-1.2929	-1	0	0	0	1	
Deletion Peak 18 - CN values	11q11   	chr11:49998330-57097437(probes 171513:171667)    	chr11:50047934-55080159(probes 171518:171519)    	chr11:50057855-55089878(probes 171519:171520)    	0.011487	   0.011487		Actual Copy Change Given	0	0	0	0.00013195	0	0	0	-1	0	-1	0	-0.66667	0	-1	-1	0	0	
Deletion Peak 19 - CN values	12q12   	chr12:39295232-41982043(probes 182383:182579)    	chr12:39675105-41982043(probes 182421:182579)    	chr12:33607834-44171289(probes 182312:182783)    	0.0098415	  0.0098415		Actual Copy Change Given	0	0	0	0	0	0	0.5	0	3.6569	-1.2929	0	3.3333	0	2	-1.2929	-0.85714	-1.2929	
Deletion Peak 20 - CN values	12q21.32	chr12:87227837-89815448(probes 186550:186768)    	chr12:88157793-89765468(probes 186643:186763)    	chr12:88177792-88440133(probes 186645:186646)    	0.19345	    0.19345		Actual Copy Change Given	0.00028796	-1.2929	0	0	0	0	0.5	0	3.6569	0	0	2.6667	0	0	0	-0.85714	0	
Deletion Peak 21 - CN values	12q24.33	chr12:133277287-133851895(probes 190960:190987)	chr12:133287160-133851895(probes 190961:190987)	chr12:132323295-133851895(probes 190868:190987)	0.06184	   0.061545		Actual Copy Change Given	0.00028796	0	0	0	0	0	0.5	0	3.6569	1	-1	0.66667	-1	2	1	0	-1.2929	
Deletion Peak 22 - CN values	16p13.3 	chr16:1-90354753(probes 216528:224001)              	chr16:1-2841291(probes 216528:216799)                	chr16:1-2851150(probes 216528:216800)                	0.064013	          1		Actual Copy Change Given	0	0	-1	0	0	0	0	0	1	3	-1	-1.2929	-1.2929	0	0	0	1	
Deletion Peak 23 - CN values	16p13.3 	chr16:1-81267717(probes 216528:223101)              	chr16:1-2841291(probes 216528:216799)                	chr16:1-2851150(probes 216528:216800)                	0.064013	   0.064013		Actual Copy Change Given	0	0	-1	0	0	0	0	0	1	3	-1	-1.2929	-1.2929	0	0	0	1	
Deletion Peak 24 - CN values	16q24.3 	chr16:1-90354753(probes 216528:224001)              	chr16:88460973-90154359(probes 223825:223992)    	chr16:88470953-90354753(probes 223826:224001)    	0.064013	          1		Actual Copy Change Given	0	-1	-1	0	0	0	0	0	1	-1.2929	-1	-1.2929	-1	0	0	-0.57078	1	
Deletion Peak 25 - CN values	17q25.3 	chr17:79907031-81195210(probes 231440:231553)    	chr17:79917016-81195210(probes 231441:231553)    	chr17:79936987-81195210(probes 231443:231553)    	0.077033	   0.077009		Actual Copy Change Given	0	-1.2929	-1	0	0	0	0	0	1	3	-1	-1.2929	-1.2929	2	0	0	1	
Deletion Peak 26 - CN values	19p13.2 	chr19:8912396-17831852(probes 239602:240484)      	chr19:8912396-17812017(probes 239602:240482)      	chr19:9002441-20005986(probes 239607:240695)      	0.011856	   0.011822		Actual Copy Change Given	0	-1.2929	-1.2929	0	0	-1	0	-1	1	-1.2929	-1	-1.2929	-1	3.6569	-1.2929	0	0	
Deletion Peak 27 - CN values	20q13.33	chr20:1169507-63025520(probes 244081:249754)      	chr20:60746590-63025520(probes 249535:249754)    	chr20:60574217-63025520(probes 249517:249754)    	0.011487	   0.011487		Actual Copy Change Given	0	0	-1	0	0	3.6569	1.5	0	1	2	-1	-1.2929	-1.2929	0	1	0	1	
