"Hugo_Symbol","Tumor_Sample_Barcode","Variant_Classification","Variant_Type","Cytoband","key","cito","N_samples","total","Fract"
"PEX6","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"PGC","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"POLH","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"PPP2R5D","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"PTK7","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"PRPH2","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"SRF","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TBCC","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"VEGFA","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TFEB","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"SUPT3H","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"NCR2","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"MED20","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"POLR1C","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"MAD2L1BP","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"CUL7","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"C6orf108","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"CNPY3","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"FRS3","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"SLC22A7","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"APOBEC2","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"CAPN11","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"ENPP4","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"CUL9","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"UBR2","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"KIAA0240","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"ZNF318","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"YIPF3","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"USP49","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"GNMT","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"PRICKLE4","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"MRPL2","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"CLIC5","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TREM2","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TREM1","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"GTPBP2","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"MRPS18A","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"MRPS10","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TMEM63B","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TRERF1","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"AARS2","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"XPO5","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"ENPP5","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"MRPL14","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"DLK2","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TREML2","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TTBK1","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"RRP36","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"ABCC10","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"KLC4","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TJAP1","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"FOXP4","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"KLHDC3","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TAF8","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"PTCRA","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TCTE1","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"SPATS1","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"C6orf223","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"RSPH9","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"LRRC73","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TREML2P1","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"LOC221442","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"C6orf130","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TSPO2","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"UNC5CL","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TREML4","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"RPL7L1","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TREML1","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TREML3","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"SLC35B2","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"CRIP3","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"C6orf226","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TMEM151B","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"ATP6V0CP3","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"C6orf132","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"MIR586","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"LOC100132354","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"TOMM6","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"MIR4647","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"MIR4641","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"MIR4642","sarc-sg029-01-000-000","Amp","CNV","AP_2:6p21.1","Amp_AP_2:6p21.1","6p21.1",7,11,0.636363636363636
"BIRC2","sarc-sg029-01-000-000","Amp","CNV","AP_4:11q22.2","Amp_AP_4:11q22.2","11q22.2",4,11,0.363636363636364
"BIRC3","sarc-sg029-01-000-000","Amp","CNV","AP_4:11q22.2","Amp_AP_4:11q22.2","11q22.2",4,11,0.363636363636364
"MMP7","sarc-sg029-01-000-000","Amp","CNV","AP_4:11q22.2","Amp_AP_4:11q22.2","11q22.2",4,11,0.363636363636364
"MMP20","sarc-sg029-01-000-000","Amp","CNV","AP_4:11q22.2","Amp_AP_4:11q22.2","11q22.2",4,11,0.363636363636364
"YAP1","sarc-sg029-01-000-000","Amp","CNV","AP_4:11q22.2","Amp_AP_4:11q22.2","11q22.2",4,11,0.363636363636364
"KIAA1377","sarc-sg029-01-000-000","Amp","CNV","AP_4:11q22.2","Amp_AP_4:11q22.2","11q22.2",4,11,0.363636363636364
"C11orf70","sarc-sg029-01-000-000","Amp","CNV","AP_4:11q22.2","Amp_AP_4:11q22.2","11q22.2",4,11,0.363636363636364
"TMEM123","sarc-sg029-01-000-000","Amp","CNV","AP_4:11q22.2","Amp_AP_4:11q22.2","11q22.2",4,11,0.363636363636364
"ANGPTL5","sarc-sg029-01-000-000","Amp","CNV","AP_4:11q22.2","Amp_AP_4:11q22.2","11q22.2",4,11,0.363636363636364
"hsa-mir-1302-10","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"ALDH1A3","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"IGF1R","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"MEF2A","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"PCSK6","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"SNRPA1","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"CHSY1","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"SYNM","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"OR4F4","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"LINS","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"SELS","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"TTC23","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"LRRK1","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"TM2D3","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"TARSL2","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"LRRC28","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"ASB7","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"LYSMD4","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"PGPEP1L","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"ADAMTS17","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"DNM1P46","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"CERS3","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"FAM169B","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"WASH3P","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"FLJ42289","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"OR4F6","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"OR4F15","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"FAM138E","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"GPCRLTM7","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"DDX11L1","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"DDX11L9","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"LOC100507472","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"MIR4714","sarc-sg029-01-000-000","Amp","CNV","AP_6:15q26.3","Amp_AP_6:15q26.3","15q26.3",5,11,0.454545454545455
"hsa-mir-1180","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"hsa-mir-33b","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"hsa-mir-1288","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"ADORA2B","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"ALDH3A1","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"ALDH3A2","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"DRG2","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"FOXO3B","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"FLII","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"LLGL1","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"MEIS3P1","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"MFAP4","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"MAPK7","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"PRPSAP2","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"SHMT1","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"SREBF1","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"TOP3A","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"UBB","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"RNF112","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"COPS3","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"PIGL","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"NCOR1","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"ULK2","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"CCDC144A","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"PEMT","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"FBXW10","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"TRIM16","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"RAI1","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"GRAP","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"AKAP10","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"EPN2","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"MPRIP","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"TNFRSF13B","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"SNORD49A","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"B9D1","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"FAM18B1","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"MYO15A","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"TRPV2","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"RASD1","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"ALKBH5","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"TTC19","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"MED9","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"SLC47A1","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"NT5M","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"ZNF286A","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"ZNF287","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"ZNF624","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"C17orf39","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"FAM106A","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"LRRC48","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"ATPAF2","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"SPECC1","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
"C17orf76-AS1","sarc-sg029-01-000-000","Amp","CNV","AP_7:17p11.2","Amp_AP_7:17p11.2","17p11.2",9,11,0.818181818181818
