Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	sarc-sg001-01-000-000	sarc-sg007-01-000-000	sarc-sg026-01-000-000	sarc-sg036-01-000-000	sarc-sg039-01-000-000	sarc-sg043-01-000-000	sarc-sg044-01-000-000	sarc-sg047-01-000-000	sarc-sg051-01-000-000	sarc-sg092-01-000-000	sgit-st006-01-000-000	sgit-st012-01-000-000	sgit-st017-01-000-000	sgit-st018-01-000-000	sgit-st019-01-000-000	sgit-st022-01-000-000	sgit-st031-01-000-000	sgit-st034-01-000-000	sgit-st042-01-000-000	sgit-st045-01-000-000	sgit-st046-01-000-000	sgit-st047-01-000-000	sgit-st049-01-000-000	sgit-st057-01-000-000	sgit-st058-01-000-000	sgit-st064-01-000-000	sgit-st066-01-000-000	sgit-st071-01-000-000	sgit-st072-01-000-000	sgit-st081-01-000-000	sgit-st082-01-000-000	sgit-st090-01-000-000	sgit-st095-01-000-000	sgit-st096-01-000-000	sgit-st097-01-000-000	sgit-st115-01-000-000	
Amplification Peak 11	13q34  	chr13:112287462-114559634(probes 187207:187432)	chr13:113801901-114174888(probes 187355:187391)	chr13:111077475-115169878(probes 187081:187445)	0.0043247	  0.0043247		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	2	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	2	0	0	0	0	2	0	0	0	1	
Amplification Peak 12	14q11.2	chr14:22882421-22975699(probes 187770:187777)    	chr14:22891795-22975475(probes 187771:187776)    	chr14:22371639-23011213(probes 187724:187783)    	0.00025201	 0.00025201		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	1	0	0	2	1	0	0	0	0	1	2	2	2	1	0	0	1	0	0	0	2	2	0	2	2	1	0	1	1	1	1	0	2	1	1	
Amplification Peak 13	17p11.2	chr17:16630790-16729153(probes 211717:211723)    	chr17:16640777-16722280(probes 211718:211722)    	chr17:12511478-25877979(probes 211404:212176)    	8.5807e-08	 3.3044e-06		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	2	0	2	1	1	2	2	1	2	2	2	1	0	2	0	2	0	2	2	1	2	2	0	2	2	1	2	1	2	2	1	0	2	0	0	
Amplification Peak 14	17p11.2	chr17:17425442-25858468(probes 211778:212174)    	chr17:20747443-21216709(probes 212047:212096)    	chr17:12511478-25877979(probes 211404:212176)    	5.9847e-05	   0.024539		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	2	1	1	2	2	1	2	0	2	1	0	2	0	2	1	2	0	1	0	2	0	2	2	1	0	1	2	2	1	0	2	0	0	
Amplification Peak 15	19p13.2	chr19:13074243-14030549(probes 224703:224788)    	chr19:13083968-13692313(probes 224704:224758)    	chr19:13083968-14050502(probes 224704:224790)    	0.04069	    0.04069		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	0	0	0	0	0	1	2	0	0	0	0	2	2	0	1	0	0	1	2	2	0	0	0	0	1	2	0	0	1	0	0	0	0	2	0	1	
Amplification Peak 16	19q12  	chr19:23932027-30802720(probes 225750:225815)    	chr19:23941863-30660028(probes 225751:225814)    	chr19:23941863-32953372(probes 225751:226009)    	2.6586e-06	 2.6586e-06		0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9	2	0	0	1	2	1	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	1	2	2	2	2	0	0	1	2	2	0	0	2	0	0	
Deletion Peak  1	1q43    	chr1:226795921-249250621(probes 18042:20012)	chr1:241992847-242179374(probes 19429:19446)	chr1:238518561-249250621(probes 19172:20012)	0.041395	 0.041395		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	1	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	
Deletion Peak  2	2q37.1  	chr2:227041478-243199373(probes 40379:41898)	chr2:230774474-231579517(probes 40729:40795)	chr2:228243906-231891067(probes 40476:40828)	0.041395	 0.041395		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	0	0	1	0	
Deletion Peak  3	3p11.2  	chr3:87283615-94662258(probes 50270:50273)    	chr3:87293528-94662258(probes 50271:50273)    	chr3:87313354-94669705(probes 50273:50274)    	0.025992	 0.025992		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	
Deletion Peak  4	5q35.1  	chr5:43550832-180915260(probes 80896:93346)  	chr5:168494285-170903204(probes 92159:92375)	chr5:168504186-170893280(probes 92160:92374)	0.1963	   0.1963		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	1	0	
Deletion Peak  5	10q21.3 	chr10:61505863-77321172(probes 149118:150185)	chr10:64544990-70047292(probes 149410:149570)	chr10:64564935-65001850(probes 149412:149413)	0.092649	 0.093103		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	
Deletion Peak  6	11q11   	chr11:49805802-55328335(probes 160261:160273)	chr11:49896647-55149433(probes 160262:160264)	chr11:49898036-55149433(probes 160263:160264)	0.11226	  0.11226		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	
Deletion Peak  7	13q14.3 	chr13:40173906-76104769(probes 180733:184019)	chr13:51267471-51876209(probes 181812:181866)	chr13:47510279-63215850(probes 181457:182916)	0.079754	 0.079754		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	
Deletion Peak  8	15q14   	chr15:1-77534473(probes 195599:200828)       	chr15:36056932-38790920(probes 197120:197258)	chr15:36066928-36925828(probes 197121:197122)	0.23133	  0.23133		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	1	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	1	1	0	1	0	1	0	1	0	1	1	0	0	0	1	1	
Deletion Peak  9	16q24.3 	chr16:89238117-90354753(probes 210149:210253)	chr16:89696415-90057455(probes 210194:210234)	chr16:89294045-90354753(probes 210153:210253)	0.091317	 0.091317		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	0	0	0	
Deletion Peak 10	17p13.1 	chr17:7517847-7750527(probes 210967:210973)    	chr17:7527395-7750527(probes 210968:210973)    	chr17:6640390-7750527(probes 210887:210973)    	0.041395	 0.041395		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	
Deletion Peak 11	18q21.1 	chr18:33841883-69192718(probes 220120:222932)	chr18:41986259-44079375(probes 220921:220996)	chr18:41996251-43263173(probes 220922:220923)	0.23133	  0.23133		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	1	
Deletion Peak 12	19p13.2 	chr19:8921386-9221089(probes 224304:224321)    	chr19:8931365-9221089(probes 224305:224321)    	chr19:8941343-8995551(probes 224306:224307)    	0.23133	  0.23133		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	
Deletion Peak 13	19p12   	chr19:17162129-20803436(probes 225106:225446)	chr19:19657726-20775514(probes 225353:225443)	chr19:17278980-20794129(probes 225118:225445)	0.091317	 0.091317		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	1	0	0	0	1	0	1	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	
Deletion Peak 14	22q13.33	chr22:49172386-51304566(probes 239783:239967)	chr22:49997785-50230383(probes 239864:239870)	chr22:50017557-50200812(probes 239866:239867)	0.19522	   0.1953		0: t>-0.1; 1: -0.1>t> -1.3; 2: t< -1.3	0	0	0	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	
Amplification Peak  1 - CN values	1p31.1 	chr1:71327035-97485027(probes 6798:9208)          	chr1:76608778-79106966(probes 7277:7483)          	chr1:76107307-79136920(probes 7226:7486)          	0.038155	   0.038155		Actual Copy Change Given	1.3333	0.66667	-1	0	0.33333	0.8	3.6569	0	-0.33333	0	2	-1	0.66667	0	1.6	-1.2929	0	0	3.6569	0	0.8	1.2	3.6569	1	0.66667	0	0.33333	0	2.4	0.33333	-0.5	0.4	0	1	0	-0.4	
Amplification Peak  2 - CN values	1q21.1 	chr1:121106277-143402920(probes 11113:11194)    	chr1:121116122-143400906(probes 11114:11193)    	chr1:121116122-143412052(probes 11114:11196)    	0.043243	    0.12263		Actual Copy Change Given	-0.66667	0	2	0	0	1.2	1.2	1	1	0.8	0	0	0.66667	0	0	1	0	0	0	0	0.4	-0.4	0.5	1	2	0	0	0	1.2	0.66667	3.6569	0	1.3333	0	0	1.6	
Amplification Peak  3 - CN values	1q21.3 	chr1:149898549-152138740(probes 11755:11959)    	chr1:150930316-151810303(probes 11847:11929)    	chr1:143402922-166935888(probes 11196:13345)    	7.1477e-09	 8.3207e-08		Actual Copy Change Given	1.3333	3.6569	1	3.3333	0.33333	0.8	0.8	0	1	1.6	0	1	2.6667	0	3.6	0	0	0.66667	1	0	0.8	3.2	0.5	3.6569	2.6667	0	0.66667	0	3.2	0.33333	0	2	1.3333	3	0.66667	1.6	
Amplification Peak  4 - CN values	1q24.3 	chr1:170075595-175052827(probes 13653:14025)    	chr1:171311004-171772864(probes 13741:13782)    	chr1:169530071-175085890(probes 13600:14027)    	0.0035779	   0.080851		Actual Copy Change Given	1.3333	2.6667	1	-0.99947	0.66667	1.2	3.2	0	0.66667	1.2	0	0	3.6569	0	0.4	0	0	0.66667	0.99756	0	0.4	2.8	0.5	0	-0.66667	0	0.66667	0	0.4	0.33333	0	2.4	1.3333	0	0.66667	1.2	
Amplification Peak  5 - CN values	4q12   	chr4:48978669-93521391(probes 63989:67520)        	chr4:48988451-55980238(probes 63990:64213)        	chr4:48988451-56009950(probes 63990:64216)        	0.22107	    0.22107		Actual Copy Change Given	0.66667	2.6667	0	0.33333	0.33333	-0.4	-0.4	0	0.66667	0	0	0	0	0	0.4	0	0	0	2	0	0.4	2	0.5	3.6569	0	0	0	0	-0.4	0	0.5	0.4	0.66667	0	0	1.2	
Amplification Peak  6 - CN values	6p21.1 	chr6:42175894-46629653(probes 96858:97196)        	chr6:44280813-45177024(probes 97055:97098)        	chr6:38556373-49430251(probes 96542:97400)        	1.0825e-06	 6.6862e-06		Actual Copy Change Given	0	2	0	-0.33333	2.6667	0.8	0	0	0.33333	0	3.6569	0	2	3.6569	1.6	-1	0	0.66667	3.6569	0	1.2	0.4	3.6569	3.6569	2	0	-0.33333	3.6569	2	-0.33333	3.6569	1.6	2	0	0.66667	0.4	
Amplification Peak  7 - CN values	6p11.2 	chr6:55435577-64404040(probes 97894:98020)        	chr6:57372105-64394047(probes 98004:98019)        	chr6:53767653-64424026(probes 97778:98022)        	0.0037438	    0.15832		Actual Copy Change Given	0	0.66667	0	0	1	0.8	1.2	0	0.33333	0	2.6667	0	0.66667	2	3.2	-1	0	0.66667	2	0	0.8	0.4	2	1	0.66667	0	-0.33333	0	2	-0.33333	3.6569	0.8	2	0	0.66667	0.4	
Amplification Peak  8 - CN values	8q24.21	chr8:126439149-128108808(probes 131391:131547)  	chr8:127428912-128032250(probes 131484:131538)  	chr8:119774201-134503853(probes 130816:132134)  	4.6034e-05	 0.00030449		Actual Copy Change Given	0	3.6569	0	0.66667	-0.66667	1.2	1.6	0	0.33333	0.4	0	2	0.66667	0	3.2	0	3.6569	0.66667	1	3.6569	0.8	3.6569	3	1	3.6569	1	0.33333	0.5	2.4	1.3333	1	1.2	0.66667	1	0.66667	2.4	
Amplification Peak  9 - CN values	8q24.3 	chr8:141831125-143319591(probes 132732:132867)  	chr8:142525075-143310814(probes 132790:132866)  	chr8:139838892-143811979(probes 132625:132904)  	0.0068138	     0.1095		Actual Copy Change Given	0	3.6569	-1	0.33333	1.3333	0.8	1.6	0	0.33333	-0.8	0	1	0.66667	0	3.2	0	0	0.66667	1	3.6569	3.6	0.8	1.5	1	0.66667	2	0.33333	0.5	2.4	1.3333	0.5	1.2	0.66667	1	0.66667	1.2	
Amplification Peak 10 - CN values	12q14.1	chr12:58108053-61525563(probes 171951:172080)    	chr12:58112438-58695933(probes 171952:171961)    	chr12:58112438-61545331(probes 171952:172082)    	0.10353	    0.10353		Actual Copy Change Given	0	0	0	-1	0	-0.4	0	0	0.33333	-0.8	0	0	0.66667	3.6569	1.2	0	0	0	0	0	-0.4	0.4	0	3.6569	0	-0.66667	-0.33333	0	0	0	0.5	0.8	0	1.0014	0	3.6569	
Amplification Peak 11 - CN values	13q34  	chr13:112287462-114559634(probes 187207:187432)	chr13:113801901-114174888(probes 187355:187391)	chr13:111077475-115169878(probes 187081:187445)	0.0043247	  0.0043247		Actual Copy Change Given	0	-0.66667	0	3.6569	1.6667	1.6	-0.8	0	0.66667	-0.8	-0.66667	-1	-0.00047296	-0.5	-1.2	0	0	0	0	0	2	-0.4	0	1	3.3333	0	3	-0.5	-0.8	0	-1	1.179	0	0	-0.66667	0.8	
Amplification Peak 12 - CN values	14q11.2	chr14:22882421-22975699(probes 187770:187777)    	chr14:22891795-22975475(probes 187771:187776)    	chr14:22371639-23011213(probes 187724:187783)    	0.00025201	 0.00025201		Actual Copy Change Given	2	0.66667	0	0	3.6569	0.4	-0.4	0	-0.33333	0	0.66667	3	3.3333	2	0.8	0	0	0.66667	0.017467	0	0	1.2	3.6569	0	3.3333	1	0.33333	-0.0013598	0.4	0.33333	0.5	0.4	0	1	0.66667	0.4	
Amplification Peak 13 - CN values	17p11.2	chr17:16630790-16729153(probes 211717:211723)    	chr17:16640777-16722280(probes 211718:211722)    	chr17:12511478-25877979(probes 211404:212176)    	8.5807e-08	 3.3044e-06		Actual Copy Change Given	-0.66766	3.3333	0	1.3333	0.66667	0.4	3.6	1	0.66667	3.6569	2	3.6569	0.66667	0	3.6569	0	2	-1.2929	1	3.6569	0.4	2.4	3.6569	0	1.3333	3.6569	0.33333	3	0.8	3.6569	1	0.4	-0.66667	2	0	0	
Amplification Peak 14 - CN values	17p11.2	chr17:17425442-25858468(probes 211778:212174)    	chr17:20747443-21216709(probes 212047:212096)    	chr17:12511478-25877979(probes 211404:212176)    	5.9847e-05	   0.024539		Actual Copy Change Given	-0.66766	0	0	3.6569	0.66667	0.4	3.6569	1	0.66667	3.6569	0	3.6569	0.66667	0	3.6569	0	2	0.66667	1	-0.4	0.4	-0.4	3.6569	0	1.3333	3.6569	0.33333	0	0.8	3.6569	1	0.4	-0.66667	2	0	0	
Amplification Peak 15 - CN values	19p13.2	chr19:13074243-14030549(probes 224703:224788)    	chr19:13083968-13692313(probes 224704:224758)    	chr19:13083968-14050502(probes 224704:224790)    	0.04069	    0.04069		Actual Copy Change Given	-0.66667	0	0	0	0	0.4	3.6569	0	0	0	-0.66667	3.6569	1.3333	0	0.4	0	0	0.66667	3.6569	3.6569	0	0	-0.5	0	0.66667	1.3333	0	-0.5	0.8	0	-1	0	0	2	0	0.8	
Amplification Peak 16 - CN values	19q12  	chr19:23932027-30802720(probes 225750:225815)    	chr19:23941863-30660028(probes 225751:225814)    	chr19:23941863-32953372(probes 225751:226009)    	2.6586e-06	 2.6586e-06		Actual Copy Change Given	2.6667	0	0	0.66667	3.6569	0.8	0.8	0	0	0	-0.66667	0	0.66667	-0.5	0.8	0	3.6569	-0.66667	0	0	-0.4	0.8	3.6569	1	3.6569	1.3333	0	-0.5	0.4	3.6569	3.6569	0	0	1	0	0	
Deletion Peak  1 - CN values	1q43    	chr1:226795921-249250621(probes 18042:20012)	chr1:241992847-242179374(probes 19429:19446)	chr1:238518561-249250621(probes 19172:20012)	0.041395	 0.041395		Actual Copy Change Given	1.3333	-0.66667	1	-1	-1.2929	-0.8	-0.8	0	-0.66667	0	0.66667	0	0.0012174	0	-0.4	0	0	-1.2929	1	0	0.4	-0.4	-0.5	0	-0.66667	0	-0.33333	0	-0.8	0.33333	-1	0	1.3333	0	0.66667	1.2	
Deletion Peak  2 - CN values	2q37.1  	chr2:227041478-243199373(probes 40379:41898)	chr2:230774474-231579517(probes 40729:40795)	chr2:228243906-231891067(probes 40476:40828)	0.041395	 0.041395		Actual Copy Change Given	-0.66667	-0.66202	-1	-0.66667	-0.66667	-0.8	-0.8	0	-0.33333	0	-0.66667	1	-0.66667	-0.5	0.4	0	0	-0.66667	0	0	-1.2929	-0.4	-0.5	0	-1.2929	0	-0.33333	0.5	-0.4	-0.33333	-1	-0.8	0	0	-0.66667	1.6	
Deletion Peak  3 - CN values	3p11.2  	chr3:87283615-94662258(probes 50270:50273)    	chr3:87293528-94662258(probes 50271:50273)    	chr3:87313354-94669705(probes 50273:50274)    	0.025992	 0.025992		Actual Copy Change Given	0.66667	0	0	0.00027472	-0.33333	0.8	-0.8	0	-0.33333	-0.8	0	-1	0	-0.5	-0.4	0	0	-1.2929	0	-0.8	-0.8	0.4	-0.5	0	0	3	0	-0.5	0	-0.33333	0	0	0	1	-0.66667	-0.4	
Deletion Peak  4 - CN values	5q35.1  	chr5:43550832-180915260(probes 80896:93346)  	chr5:168494285-170903204(probes 92159:92375)	chr5:168504186-170893280(probes 92160:92374)	0.1963	   0.1963		Actual Copy Change Given	-0.66667	-0.66667	0	-0.33333	-0.33333	-0.4	0	0	0.33333	-0.8	0	0	0	1	0	1	0	-0.66667	0	-0.80243	-1.2	-0.4	0.5	0	-1.2929	-1	-0.33333	0	-0.4	0	-1	-0.4	0	0	-0.66667	0.4	
Deletion Peak  5 - CN values	10q21.3 	chr10:61505863-77321172(probes 149118:150185)	chr10:64544990-70047292(probes 149410:149570)	chr10:64564935-65001850(probes 149412:149413)	0.092649	 0.093103		Actual Copy Change Given	0	-0.66667	0	-1	-0.66667	-0.8	-0.4	0	-0.66667	-0.8	-1.2929	-1	0	-0.5	-0.4	0	0	-1.2929	0	0	-0.8	-0.4	-0.5	1	-1.2929	-1	-0.66667	1	-0.8	-0.33333	-1	0	0	0	-0.66667	-0.8	
Deletion Peak  6 - CN values	11q11   	chr11:49805802-55328335(probes 160261:160273)	chr11:49896647-55149433(probes 160262:160264)	chr11:49898036-55149433(probes 160263:160264)	0.11226	  0.11226		Actual Copy Change Given	0	0	0	0.33333	-0.66667	0.4	0	0	-0.33333	0	0	0	0.66667	0	-0.4	0	0	-0.66667	0	0	-0.4	0	0	0	-0.66667	0	0	0	-1.2	-0.33333	1.506	0	0	0	0	-0.8	
Deletion Peak  7 - CN values	13q14.3 	chr13:40173906-76104769(probes 180733:184019)	chr13:51267471-51876209(probes 181812:181866)	chr13:47510279-63215850(probes 181457:182916)	0.079754	 0.079754		Actual Copy Change Given	-1.2929	-0.66667	0	-0.66667	-1.2929	-1.2	-0.8	0	-0.66667	-0.8	-0.66667	-1	-0.00047296	-0.5	-1.2	0	0	-0.66667	-1	-1.2	-0.8	-1.2	-1.2929	1	-0.66667	-1	-0.33333	-0.5	-0.8	0	-0.5	-1.2	0	-1	-0.66667	-0.4	
Deletion Peak  8 - CN values	15q14   	chr15:1-77534473(probes 195599:200828)       	chr15:36056932-38790920(probes 197120:197258)	chr15:36066928-36925828(probes 197121:197122)	0.23133	  0.23133		Actual Copy Change Given	0	-0.66667	-1	0	-1.2929	0	-0.8	0	0	-0.8	-0.66667	0	0	0	-0.4	0	0	-0.66667	0	-0.8	-0.4	-0.4	0	-1	0	-1	0.33333	-1	0	-0.33333	-1	0	0.66667	1	-0.66667	-0.4	
Deletion Peak  9 - CN values	16q24.3 	chr16:89238117-90354753(probes 210149:210253)	chr16:89696415-90057455(probes 210194:210234)	chr16:89294045-90354753(probes 210153:210253)	0.091317	 0.091317		Actual Copy Change Given	0	0.66667	0	-1	0	-1.2	-0.8	0	1	-0.8	0.66667	0	0	0	0	0	0	-0.66667	0	0	-0.4	-0.8	-0.49863	1	-0.66667	0.33333	-0.33333	-0.5	0	-0.66667	-1.2929	0.8	-1.2929	0	0	0.4	
Deletion Peak 10 - CN values	17p13.1 	chr17:7517847-7750527(probes 210967:210973)    	chr17:7527395-7750527(probes 210968:210973)    	chr17:6640390-7750527(probes 210887:210973)    	0.041395	 0.041395		Actual Copy Change Given	-0.66766	-0.66667	0	-0.33333	0	-1.2	-0.8	0	0.33333	3.6	0.66667	0	-0.66667	0	-0.8	0	0	-1.2929	0	2.8	0	0	2.5	0	0	-1	-0.33333	-0.5	0.8	-0.66667	0	0.4	-0.66667	0	2	0	
Deletion Peak 11 - CN values	18q21.1 	chr18:33841883-69192718(probes 220120:222932)	chr18:41986259-44079375(probes 220921:220996)	chr18:41996251-43263173(probes 220922:220923)	0.23133	  0.23133		Actual Copy Change Given	-0.66667	0	-1	0	-1.2929	-0.8	-0.4	0	-1.2929	-0.8	-0.66667	-1	0	-0.5	-0.4	0	0	-0.66667	1	0	0	0.8	-0.5	0	-0.66667	0	0.33333	0	0.4	0.33333	-1	-0.4	1.3333	0	-0.66667	-0.4	
